Date,NVDA
2020-01-02,5.972160816192627
2020-01-03,5.876571178436279
2020-01-06,5.90121603012085
2020-01-07,5.972658634185791
2020-01-08,5.983860492706299
2020-01-09,6.049581527709961
2020-01-10,6.081940650939941
2020-01-13,6.272624492645264
2020-01-14,6.15562629699707
2020-01-15,6.113058090209961
2020-01-16,6.196700096130371
2020-01-17,6.205411434173584
2020-01-21,6.172056198120117
2020-01-22,6.226073265075684
2020-01-23,6.294530391693115
2020-01-24,6.235284328460693
2020-01-27,5.979381561279297
2020-01-28,6.1728010177612305
2020-01-29,6.112311363220215
2020-01-30,6.119032382965088
2020-01-31,5.885533332824707
2020-02-03,5.98261833190918
2020-02-04,6.151890754699707
2020-02-05,6.24225378036499
2020-02-06,6.329131126403809
2020-02-07,6.26291561126709
2020-02-10,6.546202659606934
2020-02-11,6.66867733001709
2020-02-12,6.784431457519531
2020-02-13,6.74061918258667
2020-02-14,7.213840484619141
2020-02-18,7.382617950439453
2020-02-19,7.833934307098389
2020-02-20,7.684575080871582
2020-02-21,7.320385456085205
2020-02-24,6.802852630615234
2020-02-25,6.523299694061279
2020-02-26,6.6627020835876465
2020-02-27,6.2918195724487305
2020-02-28,6.726964950561523
2020-03-02,6.885383605957031
2020-03-03,6.622849941253662
2020-03-04,7.08664083480835
2020-03-05,6.8071699142456055
2020-03-06,6.626585960388184
2020-03-09,6.113476276397705
2020-03-10,6.5030412673950195
2020-03-11,6.13913106918335
2020-03-12,5.3878984451293945
2020-03-13,5.998897552490234
2020-03-16,4.891977310180664
2020-03-17,5.411811351776123
2020-03-18,5.051886081695557
2020-03-19,5.30470609664917
2020-03-20,5.124869346618652
2020-03-23,5.297731399536133
2020-03-24,6.2066330909729
2020-03-25,6.117959499359131
2020-03-26,6.407393932342529
2020-03-27,6.295058250427246
2020-03-30,6.615376949310303
2020-03-31,6.56580924987793
2020-04-01,6.054443359375
2020-04-02,6.36330509185791
2020-04-03,6.075368404388428
2020-04-06,6.68536901473999
2020-04-07,6.451979637145996
2020-04-08,6.649252414703369
2020-04-09,6.549619674682617
2020-04-13,6.7214860916137695
2020-04-14,7.072691440582275
2020-04-15,6.995227336883545
2020-04-16,7.340456485748291
2020-04-17,7.281174182891846
2020-04-20,7.14990758895874
2020-04-21,6.713017463684082
2020-04-22,7.127490520477295
2020-04-23,7.074185848236084
2020-04-24,7.213174343109131
2020-04-27,7.399737358093262
2020-04-28,7.257261753082275
2020-04-29,7.43411111831665
2020-04-30,7.280176639556885
2020-05-01,7.043549537658691
2020-05-04,7.255518913269043
2020-05-05,7.316543102264404
2020-05-06,7.417422294616699
2020-05-07,7.593771934509277
2020-05-08,7.7838215827941895
2020-05-11,8.035893440246582
2020-05-12,7.773858547210693
2020-05-13,7.75144100189209
2020-05-14,8.001022338867188
2020-05-15,8.459579467773438
2020-05-18,8.718131065368652
2020-05-19,8.773177146911621
2020-05-20,8.937073707580566
2020-05-21,8.743037223815918
2020-05-22,8.993114471435547
2020-05-26,8.685750007629395
2020-05-27,8.493956565856934
2020-05-28,8.455846786499023
2020-05-29,8.84291934967041
2020-06-01,8.77392292022705
2020-06-02,8.792855262756348
2020-06-03,8.737310409545898
2020-06-04,8.738306999206543
2020-06-05,8.891312599182129
2020-06-08,8.776683807373047
2020-06-09,9.01690673828125
2020-06-10,9.336624145507812
2020-06-11,8.767958641052246
2020-06-12,8.903773307800293
2020-06-15,9.144247055053711
2020-06-16,9.039335250854492
2020-06-17,9.206297874450684
2020-06-18,9.188353538513184
2020-06-19,9.231465339660645
2020-06-22,9.496111869812012
2020-06-23,9.419605255126953
2020-06-24,9.20580005645752
2020-06-25,9.459477424621582
2020-06-26,9.125556945800781
2020-06-29,9.170411109924316
2020-06-30,9.467205047607422
2020-07-01,9.499351501464844
2020-07-02,9.581335067749023
2020-07-06,9.807604789733887
2020-07-07,9.84000015258789
2020-07-08,10.183143615722656
2020-07-09,10.475200653076172
2020-07-10,10.445548057556152
2020-07-13,10.019923210144043
2020-07-14,10.343626022338867
2020-07-15,10.194358825683594
2020-07-16,10.102154731750488
2020-07-17,10.16869068145752
2020-07-20,10.476946830749512
2020-07-21,10.295283317565918
2020-07-22,10.405179977416992
2020-07-23,10.097172737121582
2020-07-24,10.161714553833008
2020-07-27,10.387985229492188
2020-07-28,10.182647705078125
2020-07-29,10.431842803955078
2020-07-30,10.579864501953125
2020-07-31,10.580613136291504
2020-08-03,10.974839210510254
2020-08-04,11.19163990020752
2020-08-05,11.25045108795166
2020-08-06,11.299043655395508
2020-08-07,11.163480758666992
2020-08-10,11.129090309143066
2020-08-11,10.815106391906738
2020-08-12,11.403458595275879
2020-08-13,11.406197547912598
2020-08-14,11.526809692382812
2020-08-17,12.297323226928711
2020-08-18,12.221319198608398
2020-08-19,12.09946060180664
2020-08-20,12.101953506469727
2020-08-21,12.642706871032715
2020-08-24,12.679342269897461
2020-08-25,12.708993911743164
2020-08-26,12.73192024230957
2020-08-27,12.587635040283203
2020-08-28,13.10546588897705
2020-08-31,13.331486701965332
2020-09-01,13.780672073364258
2020-09-02,14.30463981628418
2020-09-03,12.977521896362305
2020-09-04,12.58566951751709
2020-09-08,11.878238677978516
2020-09-09,12.677898406982422
2020-09-10,12.275827407836914
2020-09-11,12.129007339477539
2020-09-14,12.834689140319824
2020-09-15,12.953095436096191
2020-09-16,12.477985382080078
2020-09-17,12.427133560180664
2020-09-18,12.15368366241455
2020-09-21,12.480727195739746
2020-09-22,12.600872993469238
2020-09-23,12.088373184204102
2020-09-24,12.311968803405762
